datetimeUtc,humidity_pct,pm03_count,pm25,temperature_c,pm25_lag_1h,pm25_lag_3h,pm25_lag_6h,pm25_lag_12h,pm25_lag_24h,pm25_lag_48h,pm25_rolling_mean_6h,pm25_rolling_mean_12h,pm25_rolling_mean_24h,pm25_rolling_mean_48h,hour,day_of_week,month,target_pm25_next24h_avg
2025-12-27 01:00:00+00:00,50.24583371480306,834.0416666666666,33.87083355585734,8.887499888737997,28.758333285649616,15.108333150545755,72.25416660308838,70.125,48.20000007417466,78.57500012715657,35.26180548138088,55.70808072644051,53.76229480651492,87.80015803582539,1,5,12,65.08531158108904
2025-12-27 02:00:00+00:00,50.80833350287543,848.9305555555557,35.34027783075968,8.595833354526096,33.87083355585734,14.65833330154419,44.84166669845581,68.52916542689006,20.11818155375394,102.55416711171468,28.86458330684238,52.68690018942862,53.165246201585035,86.86882123225666,2,5,12,66.51661944660273
2025-12-27 03:00:00+00:00,50.050000031789146,776.9166666666666,32.22083322207133,8.537500023841858,35.34027783075968,28.758333285649616,35.949999849001564,67.21363605152477,36.13333288828532,113.50833415985107,27.28101849555969,49.921159556417756,53.79950021312695,85.46853187223677,3,5,12,67.95585559413891
2025-12-27 04:00:00+00:00,49.00833320617676,843.5,33.633333365122475,8.562500238418579,32.22083322207133,33.87083355585734,15.108333150545755,85.19583352406819,47.16250038146973,120.59166653951009,26.65949072440465,47.00509265396331,53.63647939370136,83.77504226936635,4,5,12,69.14675836900268
2025-12-27 05:00:00+00:00,48.96250009536743,918.7083333333334,35.86666615804037,8.583333651224772,33.633333365122475,35.34027783075968,14.65833330154419,88.69166723887126,69.34583330154419,122.60833326975504,29.74699076016744,42.70821764071783,53.072764101353556,81.96341032823328,5,5,12,70.32332092993188
2025-12-27 06:00:00+00:00,49.05416711171468,885.75,35.21666638056437,8.537499984105429,35.86666615804037,32.22083322207133,28.758333285649616,77.17083358764648,87.31250095367432,127.15416844685872,33.2817129029168,38.30613421731525,51.67779880370756,80.15629226340589,6,5,12,71.7665501482559
2025-12-27 07:00:00+00:00,47.10833342870077,1004.2916666666666,38.93749984105428,9.30833339691162,35.21666638056437,33.633333365122475,33.87083355585734,72.25416660308838,53.54583358764648,133.62916787465414,34.35810175206926,34.809953616725075,49.50713902982798,78.24092763702477,7,5,12,73.44102934803625
2025-12-27 08:00:00+00:00,45.51250044504801,1297.875,45.45416673024496,10.21666661898295,38.93749984105428,35.86666615804037,35.34027783075968,44.84166669845581,46.66666682561239,100.5208339691162,35.20254613293542,32.03356471988889,48.8984584570533,76.26818455299143,8,5,12,75.32175854649206
2025-12-27 09:00:00+00:00,46.85416666666666,1517.4166666666667,51.662500063578285,9.675000111262005,45.45416673024496,35.21666638056437,32.22083322207133,35.949999849001564,46.60909097844904,84.59583346048991,36.88819428284963,32.08460638920466,48.84793761974634,75.12096231884827,9,5,12,77.6391197026378
2025-12-27 10:00:00+00:00,47.316666762034096,1918.5416666666667,59.15833298365275,9.62500007947286,51.662500063578285,38.93749984105428,33.633333365122475,15.108333150545755,52.22083314259847,84.74583307902019,40.128472089767456,33.39398140708605,49.05849633162671,74.43485120641263,10,5,12,79.8931128098507
